PersonID;Year;PartyListID;Listenplatz;PreviouslyElected
975;2021;70.0;48;False
976;2021;131.0;9;False
978;2021;131.0;10;False
980;2021;102.0;70;False
982;2021;19.0;36;False
983;2021;11.0;57;False
984;2021;206.0;3;False
987;2021;9.0;47;False
988;2021;238.0;2;False
990;2021;206.0;6;False
994;2021;118.0;14;False
995;2021;70.0;45;False
998;2021;244.0;4;False
1000;2021;253.0;3;False
1001;2021;119.0;40;False
1005;2021;124.0;35;False
1006;2021;120.0;22;False
1011;2021;2.0;67;False
1014;2021;98.0;33;False
1015;2021;65.0;8;False
1016;2021;323.0;10;False
1017;2021;244.0;3;False
1018;2021;18.0;69;False
1019;2021;189.0;3;False
1022;2021;311.0;2;False
1026;2021;206.0;4;False
1029;2021;200.0;7;False
1031;2021;201.0;16;False
1032;2021;126.0;9;False
1034;2021;225.0;1;False
1037;2021;159.0;8;False
1042;2021;22.0;20;False
1045;2021;225.0;10;False
1047;2021;191.0;6;False
1048;2021;203.0;32;False
1049;2021;328.0;4;False
1051;2021;127.0;49;False
1052;2021;255.0;5;False
1053;2021;14.0;43;False
1055;2021;105.0;10;False
1059;2021;171.0;5;False
1062;2021;236.0;4;False
1063;2021;28.0;9;False
1066;2021;145.0;24;False
1071;2021;56.0;11;False
1073;2021;5.0;45;False
1074;2021;58.0;25;False
1075;2021;199.0;4;False
1077;2021;197.0;8;False
1078;2021;147.0;10;False
1080;2021;81.0;4;False
1084;2021;248.0;4;False
1086;2021;199.0;9;False
1088;2021;351.0;2;False
1090;2021;169.0;7;False
1093;2021;58.0;14;False
1094;2021;265.0;1;False
1095;2021;269.0;1;False
1096;2021;205.0;1;False
1099;2021;161.0;10;False
1100;2021;161.0;9;False
1102;2021;56.0;6;False
1103;2021;306.0;5;False
1104;2021;243.0;10;False
1106;2021;21.0;28;False
1108;2021;279.0;1;False
1109;2021;27.0;19;False
1111;2021;124.0;25;False
1112;2021;75.0;3;False
1114;2021;23.0;46;False
1115;2021;190.0;4;False
1117;2021;217.0;7;False
1118;2021;199.0;15;False
1132;2021;18.0;41;False
1133;2021;274.0;5;False
1136;2021;166.0;5;False
1139;2021;70.0;13;False
1147;2021;159.0;10;False
1148;2021;27.0;13;False
1154;2021;102.0;53;False
1157;2021;121.0;11;False
1161;2021;117.0;12;False
1163;2021;203.0;15;False
1164;2021;180.0;4;False
1170;2021;239.0;9;False
1172;2021;91.0;4;False
1173;2021;91.0;11;False
1175;2021;3.0;53;False
1178;2021;232.0;23;False
1179;2021;91.0;9;False
1180;2021;304.0;11;False
1181;2021;280.0;1;False
1184;2021;3.0;23;True
1185;2021;291.0;12;False
1188;2021;5.0;34;False
1191;2021;4.0;51;False
1193;2021;3.0;58;False
1196;2021;5.0;58;False
1199;2021;165.0;1;False
1200;2021;71.0;32;False
1201;2021;14.0;32;False
1204;2021;30.0;32;False
1205;2021;25.0;16;False
1206;2021;162.0;4;False
1207;2021;3.0;86;False
1209;2021;189.0;15;False
1210;2021;110.0;17;False
1211;2021;127.0;40;False
1212;2021;318.0;6;False
1214;2021;118.0;11;False
1215;2021;181.0;5;False
1216;2021;13.0;42;False
1217;2021;144.0;23;False
1219;2021;20.0;11;True
1221;2021;25.0;15;False
1222;2021;165.0;6;False
1223;2021;204.0;9;False
1224;2021;78.0;3;False
1227;2021;51.0;3;False
1230;2021;95.0;14;False
1231;2021;252.0;13;False
1234;2021;129.0;11;False
1235;2021;1.0;62;False
1236;2021;316.0;1;False
1240;2021;102.0;6;False
1241;2021;204.0;4;False
1242;2021;71.0;93;False
1243;2021;145.0;16;False
1244;2021;44.0;9;False
1245;2021;340.0;8;False
1246;2021;292.0;7;False
1248;2021;189.0;11;False
1250;2021;3.0;73;False
1252;2021;23.0;30;False
1253;2021;225.0;7;False
1254;2021;174.0;14;False
1255;2021;268.0;12;False
1256;2021;174.0;15;False
1260;2021;127.0;48;False
1261;2021;21.0;21;False
1262;2021;13.0;46;False
1263;2021;213.0;5;False
1264;2021;218.0;2;False
1265;2021;107.0;13;False
1268;2021;196.0;7;False
1271;2021;177.0;1;False
1272;2021;56.0;13;False
1274;2021;120.0;12;False
1276;2021;3.0;31;False
1277;2021;129.0;4;False
1278;2021;277.0;17;False
1280;2021;189.0;1;False
1282;2021;60.0;14;False
1283;2021;202.0;1;False
1284;2021;5.0;43;False
1286;2021;253.0;5;False
1287;2021;296.0;2;False
1289;2021;199.0;23;False
1290;2021;209.0;7;False
1291;2021;205.0;5;False
1292;2021;90.0;16;False
1293;2021;243.0;12;False
1294;2021;147.0;5;False
1295;2021;226.0;1;False
1296;2021;163.0;8;False
1297;2021;108.0;4;False
1298;2021;250.0;1;False
1299;2021;163.0;10;False
1301;2021;10.0;61;False
1302;2021;133.0;1;False
1304;2021;208.0;10;False
1307;2021;68.0;11;False
1308;2021;19.0;37;False
1309;2021;3.0;88;False
1312;2021;304.0;13;False
1314;2021;323.0;9;False
1315;2021;323.0;1;False
1316;2021;225.0;9;False
1317;2021;100.0;13;False
1330;2021;200.0;18;False
1331;2021;249.0;2;False
1332;2021;306.0;4;False
1335;2021;64.0;5;False
1336;2021;119.0;15;False
1337;2021;182.0;17;False
1339;2021;52.0;7;False
1340;2021;40.0;7;True
1342;2021;23.0;43;False
1343;2021;182.0;19;False
1345;2021;226.0;2;False
1347;2021;102.0;37;False
1349;2021;293.0;7;False
1350;2021;35.0;15;False
1351;2021;131.0;3;False
1355;2021;217.0;5;False
1358;2021;196.0;3;False
1360;2021;147.0;6;False
1364;2021;31.0;10;False
1367;2021;267.0;5;False
1368;2021;13.0;20;False
1369;2021;119.0;35;False
1370;2021;98.0;4;False
1372;2021;302.0;4;False
1374;2021;43.0;12;False
1376;2021;291.0;1;False
1377;2021;71.0;45;False
1381;2021;18.0;11;False
1382;2021;252.0;12;False
1388;2021;98.0;3;False
1389;2021;258.0;13;False
1393;2021;147.0;2;False
1394;2021;3.0;77;False
1395;2021;252.0;10;False
1397;2021;13.0;43;False
1398;2021;114.0;7;False
1400;2021;110.0;26;False
1401;2021;110.0;28;False
1402;2021;30.0;15;False
1406;2021;70.0;20;False
1408;2021;334.0;1;False
1409;2021;127.0;4;False
1410;2021;6.0;60;False
1411;2021;70.0;54;False
1412;2021;222.0;1;False
1415;2021;10.0;49;False
1416;2021;1.0;73;False
1420;2021;5.0;31;False
1423;2021;145.0;21;False
1424;2021;145.0;22;False
1427;2021;149.0;2;False
1428;2021;44.0;1;True
1431;2021;279.0;2;False
1432;2021;13.0;37;False
1433;2021;194.0;6;False
1437;2021;215.0;3;False
1438;2021;133.0;10;False
1440;2021;55.0;11;False
1443;2021;270.0;2;False
1447;2021;14.0;53;False
1448;2021;286.0;3;False
1450;2021;199.0;1;False
1451;2021;102.0;34;False
1452;2021;17.0;24;False
1454;2021;252.0;3;False
1460;2021;56.0;12;False
