PartyID;ShortName;LongName;IsMinority
291;Versöhnen an Stelle von spalten - Reiner Füllmich;Versöhnen an Stelle von spalten - Reiner Füllmich;False
292;Volkmar Raidt;Volkmar Raidt;False
293;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;False
294;Volksbegehren;Volksbegehren;False
295;Volt;Volt Deutschland;False
296;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !;False
297;WerteUnion;WerteUnion;False
298;WIR SIND ZUSAMMEN STARK (WSZ);WIR SIND ZUSAMMEN STARK (WSZ);False
299;Zusammen machen wir Deutschland herzlicher!;Zusammen machen wir Deutschland herzlicher!;False
300;ÖDP;Ökologisch-Demokratische Partei;False
301;ÖLDP;RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATISCHE REVOLUTION. FREIHEITEN, DEMOKRATIE, WOHLSTAND, GESUNDHEIT FÜR ALLE! BULTHEEL WÄHLEN!;False
