PersonID;Year;ConstituencyID;Erststimmen;PreviouslyElected;PartyID
1054;2021;189;3904.0;False;29
1056;2021;112;15794.0;False;273
1057;2021;313;5500.0;False;29
1058;2021;420;2622.0;False;274
1060;2021;359;1399.0;False;31
1061;2021;24;8802.0;False;29
1064;2021;98;5140.0;False;31
1065;2021;327;38325.0;False;21
1067;2021;102;17219.0;False;245
1068;2021;132;6480.0;False;235
1069;2021;6;369.0;False;33
1070;2021;244;14498.0;True;4
1072;2021;207;11210.0;False;4
1076;2021;460;970.0;False;300
1079;2021;5;46642.0;False;273
1081;2021;491;443.0;False;261
1082;2021;277;13045.0;False;4
1083;2021;327;3881.0;False;29
1085;2021;303;39253.0;False;273
1087;2021;18;32445.0;False;273
1089;2021;393;1718.0;False;300
1091;2021;269;7213.0;False;29
1092;2021;263;1146.0;False;268
1097;2021;68;2747.0;False;31
1098;2021;171;;False;67
1101;2021;321;4325.0;False;29
1105;2021;339;8785.0;False;4
1107;2021;333;3887.0;False;29
1110;2021;375;13992.0;True;4
1113;2021;70;33012.0;True;245
1116;2021;56;4006.0;False;29
1119;2021;438;244.0;False;257
1120;2021;20;97.0;False;261
1121;2021;126;2028.0;False;31
1122;2021;243;988.0;False;268
1123;2021;128;83.0;False;261
1124;2021;162;69676.0;False;22
1125;2021;73;20128.0;False;273
1126;2021;134;5167.0;False;31
1127;2021;403;15949.0;False;245
1128;2021;313;1395.0;False;31
1129;2021;281;42461.0;False;273
1130;2021;205;1157.0;False;268
1131;2021;399;;False;68
1134;2021;120;60924.0;False;22
1135;2021;102;;False;69
1137;2021;426;2466.0;False;31
1138;2021;426;8405.0;False;29
1140;2021;140;;False;70
1141;2021;395;2875.0;False;29
1142;2021;144;25140.0;False;245
1143;2021;491;3615.0;False;245
1144;2021;250;28214.0;False;245
1145;2021;385;;False;71
1146;2021;475;3820.0;False;245
1149;2021;313;;False;72
1150;2021;211;951.0;False;286
1151;2021;440;40929.0;False;21
1152;2021;106;47267.0;True;22
1153;2021;152;6552.0;True;29
1155;2021;381;3935.0;False;29
1156;2021;76;13049.0;False;236
1158;2021;403;726.0;False;300
1159;2021;411;3678.0;False;29
1160;2021;347;55234.0;True;273
1162;2021;59;26111.0;True;273
1165;2021;335;7909.0;True;4
1166;2021;32;16137.0;False;245
1167;2021;5;2305.0;False;31
1168;2021;267;2724.0;False;236
1169;2021;1;7355.0;False;235
1171;2021;140;4286.0;False;236
1174;2021;331;8482.0;False;4
1176;2021;389;17980.0;False;245
1177;2021;337;1580.0;False;31
1182;2021;249;1599.0;False;31
1183;2021;461;9116.0;True;235
1186;2021;165;14258.0;False;235
1187;2021;242;46929.0;True;273
1189;2021;460;2339.0;False;31
1190;2021;293;2258.0;False;30
1192;2021;28;8635.0;False;235
1194;2021;120;267.0;False;257
1195;2021;475;32930.0;False;4
1197;2021;167;2629.0;False;30
1198;2021;466;4357.0;False;280
1202;2021;62;46316.0;True;273
1203;2021;321;197.0;False;261
1208;2021;3;39996.0;True;21
1213;2021;160;1420.0;False;300
1218;2021;106;17432.0;False;4
1220;2021;214;998.0;False;236
1225;2021;229;42085.0;True;21
1226;2021;165;6667.0;True;29
1228;2021;211;14351.0;False;4
1229;2021;475;13108.0;False;29
1232;2021;491;2247.0;False;30
1233;2021;489;3526.0;False;30
1235;2021;319;50168.0;False;273
1237;2021;469;10637.0;False;235
1238;2021;100;721.0;False;287
1239;2021;14;;False;73
1247;2021;72;4045.0;False;31
1249;2021;311;9077.0;False;4
1251;2021;257;849.0;False;236
1257;2021;335;2795.0;False;30
1258;2021;54;13773.0;False;4
1259;2021;205;41035.0;False;273
1266;2021;395;10566.0;False;236
1267;2021;118;2927.0;False;300
1269;2021;438;32924.0;False;21
1270;2021;14;2146.0;False;31
1273;2021;142;5184.0;False;29
1275;2021;277;602.0;False;293
1279;2021;189;1633.0;False;268
1281;2021;303;2918.0;False;30
1285;2021;116;27476.0;False;273
