Year;Nachname;Vornamen;Geburtsjahr;Geburtsort;Geschlecht;PersonID
2021;Belz;Bastian Alexander;1990;Frankenberg (Eder);m;353
2021;Belz;Kristian;1978;Pasewalk;m;354
2021;Bender;Leon Dustin;2002;Ratingen;m;355
2021;Bender;Philipp Frank;1988;Bad Neuenahr-Ahrweiler;m;356
2021;Bender-Schwering;Loraine Sunshine;1988;Oberhausen;w;357
2021;Bendig;Susanne;1973;Pirmasens;w;358
2021;Bendix-vor der Straße;Sophie;1994;Leipzig;w;359
2021;Benecke;Heike;1979;Hannover;w;360
2021;Benecke;Marco;1981;Herborn;m;361
2021;Benecke;Mark Oliver;1970;Rosenheim;m;362
2021;Benedikt;Leonard;1997;Kirchheim unter Teck;m;363
2021;Benjes;Friederike;1966;Hoya/Weser;w;364
2021;Benner;Lukas;1996;Aachen;m;365
2021;Bennühr;Thomas;1959;Hamburg;m;366
2021;Benze;Christoph;1968;Krefeld;m;367
2021;Beranek;Wolfgang;1953;Lahnstein;m;368
2021;Berberich;Thomas;1958;Frankfurt am Main;m;369
2021;Berends;Werner Georg;1970;Wittmund;m;370
2021;Berezowski;Nick;1989;Jena;m;371
2021;Berg;Inka Nicole Sonja;1973;Siegen;w;372
2021;Berg;Maria;1958;Hildesheim;w;373
2021;Berg;Ronald;1966;Holzheim;m;374
2021;Berg;Sonja;1983;Cloppenburg;w;375
2021;Bergen;Ilja;1987;Swerdlowsk;m;376
2021;Berger;Gebhard;1961;Altenburg;m;377
2021;Berger;Klausjochen;1971;Dorsten;m;378
2021;Berger;Maik;1973;Halberstadt;m;379
2021;Berger;Michael Richard;1970;Markdorf;m;380
2021;Berger;Niklas Thiemo;1983;Berlin;m;381
2021;Berger;Signe;1963;Neukloster;w;382
2021;Berger;Veronika;1966;Kempen;w;383
2021;Berger-Kauffmann;Petra;1959;Neuwied;w;384
2021;Bergh;Moritz;1988;Bonn-Duisdorf;m;385
2021;Berghahn;Jürgen;1960;Blomberg;m;386
2021;Berghaus;Alexander;1998;Attendorn;m;387
2021;Berghegger;André;1972;Osnabrück;m;388
2021;Berghoff;Susanne Sabine Cornelia;1956;Bremerhaven;w;389
2021;Bergmann;Frank;1975;Dresden;m;390
2021;Bergmann;Gerhard Rudolf;1948;Hamburg;m;391
2021;Bergmann;Harald Peter Josef;1964;Rheydt;m;392
2021;Bergmann;Jochen Sebastian;1989;Bayreuth;m;393
2021;Bergmann;Maximilian;1997;Mönchengladbach;m;394
2021;Bergmann;Theresa;1989;Dresden;w;395
2021;Bergt;Bengt Axel;1982;Luckenwalde;m;396
2021;Berisha;Dafina;2000;Hamburg;w;397
2021;Berlingen;Ralf Markus;1967;Daun;m;398
2021;Bernauer;Marcel;1993;Bielefeld;m;399
2021;Berndt;Torben;1994;Helmstedt;m;400
2021;Berneiser;Gregor Philipp;1975;Frankfurt am Main;m;401
2021;Bernhard;Marc Albert;1972;Reutlingen;m;402
2021;Bernhard;Werner Paul;1943;Stuttgart;m;403
2021;Bernhardt;Annik;1998;Halle (Saale);w;404
2021;Bernhardt;Sebastian;1986;Lichtenstein/Sa.;m;405
2021;Bernshausen;Horst Joachim;1947;Gladenbach;m;406
2021;Bernstein;Melanie;1976;Buchholz in der Nordheide;w;407
2021;Bernstiel;Christoph;1984;Bernburg;m;408
2021;Bernzen;Christian Hinrich Gottfried;1962;Neuss;m;409
2021;Bertram;Ute;1961;Hildesheim;w;410
2021;Beschorner;Thomas;1990;Gräfelfing;m;411
2021;Beschow;Tobias;1980;Räckelwitz;m;412
2021;Besecke;Lizza;1993;Bremen;w;413
2021;Besser;Cornelia;1996;Siegen;w;414
2021;Best;Otfried Richard;1957;Kadenbach;m;415
2021;Bethge;Sebastian;1991;Eisenach;m;416
2021;Bethke;Cornelia;1966;Wuppertal;w;417
2021;Betzold;Alexander;1980;Berlin;m;418
2021;Beutel;Tatjana;1973;Wuppertal;w;419
2021;Beutin;Lorenz Gösta;1978;Hamburg;m;420
2021;Beutler;Benno;1967;Sömmerda;m;421
2021;Beye;Philipp Helmut;1988;Magdeburg;m;422
2021;Beyer;Francesca;1994;Troisdorf;w;423
2021;Beyer;Marius Pascal;1999;Jena;m;424
2021;Beyer;Peter;1970;Ratingen;m;425
2021;Beyer-Peters;Detlev;1957;Hüls (jetzt Krefeld);m;426
2021;Beyerlein;Andrea Ilsabe Edith;1958;Nürnberg;w;427
2021;Beyermann;Tim Christopher Emanuel;1995;Frankfurt am Main;m;428
2021;Beyrer;Christoph Martin;1964;Berchtesgaden;m;429
2021;Bezold;Nina;1989;Lauf a.d.Pegnitz;w;430
2021;Beßler;Christian Burkhard;1970;Höchstadt a.d.Aisch;m;431
2021;Beşli;Anil;1995;Stuttgart;m;432
2021;Bhakdi;Sucharit Punyaratabandhu;1946;Washington, D. C.;m;433
2021;Biadacz;Marc Josef;1979;Böblingen;m;434
2021;Bialczak;Sylwester Janusz;1981;Chojnice, Polen;m;435
2021;Bibiella;Danny;1975;Gardelegen;m;436
2021;Biedermann;Sarah Katharina;1997;Magdeburg;w;437
2021;Biedermann;Wilfried;1951;Müllenbach;m;438
2021;Biege;Thomas August;1955;Münster;m;439
2021;Bieling;Marko;1973;Hildburghausen;m;440
2021;Bien;Sven-Jarno;1973;Gotha;m;441
2021;Bienstein;Andreas;1968;Köln;m;442
2021;Bier;Christoph;1987;Karlsruhe;m;443
2021;Bier;Jörg;1972;Köln;m;444
2021;Bier;Uwe;1970;Neunkirchen/Saar;m;445
