Year;ShortName;LongName;PartyID
2025;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!;238
2025;für Reinhardsbrunn;für Reinhardsbrunn;239
2025;Ganz unten;Ganz unten;240
2025;GANZUNTEN;GANZUNTEN;241
2021;Gartenpartei;Gartenpartei;242
2025;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!;243
2021;Graue Panther;Graue Panther;244
2021;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;245
2025;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;245
2025;GRÜNE/B 90;BÜNDNIS 90/DIE GRÜNEN;246
2025;Ideenschmiede Rheinhessen;Ideenschmiede Rheinhessen;247
2021;III. Weg;DER DRITTE WEG;248
2025;Initiative Gegenwind;Initiative Gegenwind;249
2025;Integrität und Gerechtigkeit für ein starkes Deutschland;Integrität und Gerechtigkeit für ein starkes Deutschland;250
2025;Jens Kersten;Jens Kersten;251
2025;Julia Bachmann;Julia Bachmann;252
2025;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf;253
2025;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation;254
2021;KlimalisteBW;Klimaliste Baden-Württemberg;255
2021;LfK;>> Partei für Kinder, Jugendliche und Familien << - Lobbyisten für Kinder -;256
2021;LIEBE;Europäische Partei LIEBE;257
2021;LKR;Liberal-Konservative Reformer;258
2025;Marburger Pogo-Anarchisten;Marburger Pogo-Anarchisten;259
2021;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;260
2025;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;260
2025;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;261
2021;MLPD;Marxistisch-Leninistische Partei Deutschlands;262
2025;MLPD;Marxistisch-Leninistische Partei Deutschlands;262
2021;NPD;Nationaldemokratische Partei Deutschlands;263
2025;OpaBraveheart;OpaBraveheart;264
2025;Parteilos;Parteilos;265
2025;parteilos;parteilos;265
2025;parteilos1968;parteilos1968;266
2021;PdF;Partei des Fortschritts;267
2025;PdF;Partei des Fortschritts;267
2021;Die Humanisten;Partei der Humanisten;268
2025;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;268
2021;PIRATEN;Piratenpartei Deutschland;269
2025;PIRATEN;Piratenpartei Deutschland;269
2025;RobbySchubert;RobbySchubert;270
2025;Robert Farle;Robert Farle;271
2021;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;272
2025;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;272
2021;sonstige;DIE SONSTIGEN - X;273
2021;SPD;Sozialdemokratische Partei Deutschlands;274
2025;SPD;Sozialdemokratische Partei Deutschlands;274
2021;SSW;Südschleswigscher Wählerverband;275
2025;SSW;Südschleswigscher Wählerverband;275
2025;Stimme für Thüringen;Stimme für Thüringen;276
