BridgeID;Year;ConstituencyID;PartyID;VoteType;Votes
12;2021;218;21;2;26383.0
12;2021;218;4;1;25393.0
12;2021;218;4;2;24185.0
12;2021;218;29;1;17906.0
12;2021;218;29;2;16604.0
12;2021;218;273;1;45189.0
12;2021;218;273;2;49271.0
12;2021;218;235;1;11769.0
12;2021;218;235;2;13242.0
12;2021;218;245;1;12061.0
12;2021;218;245;2;12419.0
12;2021;218;281;1;
12;2021;218;281;2;2645.0
12;2021;218;262;1;
12;2021;218;262;2;1112.0
12;2021;218;30;1;1910.0
12;2021;218;30;2;1252.0
12;2021;218;236;1;3552.0
12;2021;218;236;2;2476.0
12;2021;218;261;1;243.0
12;2021;218;261;2;117.0
12;2021;218;300;1;
12;2021;218;300;2;151.0
12;2021;218;31;1;2417.0
12;2021;218;31;2;2207.0
12;2021;218;33;1;
12;2021;218;33;2;121.0
12;2021;218;267;1;
12;2021;218;267;2;175.0
12;2021;218;268;1;1414.0
12;2021;218;268;2;1023.0
12;2021;218;27;1;
12;2021;218;27;2;399.0
12;2021;218;295;1;
12;2021;218;295;2;381.0
13;2021;219;21;1;26208.0
13;2021;219;21;2;24621.0
13;2021;219;4;1;24760.0
13;2021;219;4;2;24673.0
13;2021;219;29;1;14949.0
13;2021;219;29;2;14979.0
13;2021;219;273;1;50736.0
13;2021;219;273;2;46846.0
13;2021;219;235;1;10322.0
13;2021;219;235;2;11638.0
13;2021;219;245;1;8163.0
13;2021;219;245;2;10147.0
13;2021;219;281;1;
13;2021;219;281;2;2562.0
13;2021;219;262;1;
13;2021;219;262;2;889.0
13;2021;219;30;1;
13;2021;219;30;2;1019.0
13;2021;219;236;1;3531.0
13;2021;219;236;2;2384.0
13;2021;219;261;1;
13;2021;219;261;2;65.0
13;2021;219;300;1;
13;2021;219;300;2;195.0
13;2021;219;31;1;2796.0
13;2021;219;31;2;2610.0
13;2021;219;33;1;
13;2021;219;33;2;109.0
13;2021;219;267;1;
13;2021;219;267;2;157.0
13;2021;219;268;1;
