PartyListID;Year;StateID;PartyID;VoteCount
217;2021;10;287;7082.0
218;2021;3;290;7059.0
219;2021;5;281;6957.0
220;2021;14;295;6674.0
221;2021;2;290;6626.0
222;2021;5;236;6563.0
223;2021;16;261;6445.0
224;2021;8;262;6400.0
225;2021;14;267;6235.0
226;2021;14;27;6229.0
227;2021;4;262;6190.0
228;2021;4;15;6040.0
229;2021;3;262;6036.0
230;2021;2;300;6013.0
231;2021;3;261;5789.0
232;2021;6;15;5765.0
233;2021;7;300;5682.0
234;2021;12;295;5588.0
235;2021;13;300;5403.0
236;2021;12;27;5305.0
237;2021;1;295;5297.0
238;2021;9;300;5195.0
239;2021;16;300;5171.0
240;2021;4;34;4993.0
241;2021;6;290;4891.0
242;2021;1;262;4868.0
243;2021;10;33;4841.0
244;2021;14;247;4803.0
245;2021;10;34;4729.0
246;2021;2;267;4577.0
247;2021;6;262;4511.0
248;2021;9;262;4379.0
249;2021;16;262;4103.0
250;2021;9;267;4093.0
251;2021;15;268;4067.0
252;2021;6;267;4023.0
253;2021;13;295;4019.0
254;2021;3;254;3967.0
255;2021;9;287;3913.0
256;2021;1;33;3763.0
257;2021;6;300;3683.0
258;2021;4;257;3667.0
259;2021;14;287;3606.0
260;2021;16;295;3566.0
261;2021;4;247;3544.0
262;2021;13;268;3419.0
263;2021;16;259;3400.0
264;2021;10;257;3362.0
265;2021;1;27;3353.0
266;2021;10;266;3228.0
267;2021;6;287;3128.0
268;2021;9;257;3113.0
269;2021;5;27;3014.0
270;2021;15;262;3002.0
271;2021;2;34;2977.0
272;2021;11;262;2779.0
273;2021;11;267;2770.0
274;2021;2;257;2720.0
275;2021;14;261;2643.0
276;2021;9;34;2625.0
277;2021;4;261;2509.0
278;2021;5;295;2504.0
279;2021;16;27;2501.0
280;2021;1;267;2350.0
281;2021;12;287;2344.0
282;2021;13;27;2281.0
283;2021;11;287;2202.0
284;2021;2;33;2155.0
285;2021;8;27;2146.0
286;2021;15;295;2097.0
287;2021;3;257;2086.0
288;2021;12;262;2034.0
289;2021;2;262;1980.0
290;2021;8;261;1979.0
291;2021;3;17;1936.0
292;2021;8;295;1904.0
293;2021;6;261;1875.0
294;2021;2;261;1850.0
295;2021;1;234;1817.0
296;2021;11;26;1796.0
297;2021;14;257;1795.0
298;2021;12;257;1766.0
299;2021;12;267;1763.0
300;2021;12;34;1756.0
301;2021;14;33;1725.0
302;2021;15;261;1662.0
303;2021;11;257;1617.0
304;2021;5;267;1605.0
305;2021;9;261;1558.0
306;2021;9;33;1543.0
307;2021;12;300;1539.0
308;2021;6;33;1527.0
309;2021;15;267;1415.0
310;2021;13;262;1375.0
311;2021;16;267;1357.0
312;2021;7;34;1341.0
313;2021;6;17;1338.0
314;2021;7;261;1310.0
315;2021;15;34;1302.0
316;2021;2;287;1299.0
317;2021;7;262;1291.0
318;2021;4;33;1288.0
319;2021;8;267;1277.0
320;2021;7;287;1219.0
321;2021;7;267;1203.0
322;2021;8;300;1189.0
323;2021;15;300;1148.0
324;2021;1;261;1146.0
325;2021;11;286;1140.0
326;2021;5;287;1124.0
327;2021;5;300;1120.0
328;2021;3;33;1107.0
