PersonID;Year;ConstituencyID;Erststimmen
503;2021;195;15995.0
504;2021;82;16029.0
506;2021;167;609.0
509;2021;475;11089.0
510;2021;78;3355.0
512;2021;116;17822.0
515;2021;134;16592.0
516;2021;2;10964.0
517;2021;45;1058.0
518;2021;219;10322.0
522;2021;110;1235.0
524;2021;242;7390.0
525;2021;187;38424.0
526;2021;80;631.0
527;2021;421;27109.0
529;2021;212;704.0
530;2021;417;10200.0
531;2021;241;1586.0
533;2021;90;2532.0
536;2021;219;26208.0
539;2021;181;21249.0
540;2021;249;39541.0
541;2021;363;4700.0
542;2021;240;8804.0
543;2021;295;5094.0
546;2021;22;705.0
547;2021;14;200.0
550;2021;71;4431.0
551;2021;427;2251.0
557;2021;243;3981.0
558;2021;481;29578.0
559;2021;51;2437.0
560;2021;471;2335.0
561;2021;183;61573.0
562;2021;56;17769.0
565;2021;247;13377.0
567;2021;84;83663.0
569;2021;487;48034.0
573;2021;50;7956.0
575;2021;53;53288.0
582;2021;181;47283.0
583;2021;43;15196.0
584;2021;47;3460.0
585;2021;477;849.0
587;2021;34;20910.0
588;2021;409;11870.0
590;2021;481;341.0
591;2021;165;17819.0
593;2021;232;80134.0
594;2021;343;
596;2021;128;32056.0
597;2021;140;41027.0
598;2021;193;25811.0
599;2021;465;37884.0
600;2021;201;2478.0
601;2021;325;30845.0
602;2021;436;39066.0
603;2021;171;244.0
604;2021;138;507.0
607;2021;367;113.0
608;2021;53;2839.0
609;2021;331;3699.0
611;2021;477;34010.0
614;2021;55;15549.0
615;2021;49;36501.0
619;2021;72;3047.0
620;2021;345;71185.0
623;2021;353;5283.0
626;2021;448;4292.0
627;2021;471;12521.0
630;2021;331;14515.0
632;2021;281;53757.0
635;2021;399;4483.0
637;2021;70;3303.0
639;2021;67;3482.0
641;2021;96;26183.0
645;2021;73;30743.0
646;2021;422;19025.0
647;2021;252;3835.0
649;2021;162;29960.0
651;2021;118;2567.0
652;2021;36;195.0
653;2021;414;38927.0
654;2021;444;
655;2021;391;45364.0
657;2021;5;23931.0
663;2021;389;2354.0
666;2021;124;726.0
669;2021;251;11305.0
670;2021;76;9245.0
672;2021;50;3152.0
673;2021;205;7497.0
674;2021;211;4287.0
676;2021;315;1007.0
678;2021;102;3537.0
680;2021;54;184.0
681;2021;475;30969.0
682;2021;4;40804.0
683;2021;241;746.0
686;2021;473;12419.0
688;2021;213;159.0
689;2021;223;29950.0
690;2021;20;
691;2021;82;1408.0
693;2021;291;14873.0
694;2021;160;966.0
701;2021;460;26413.0
702;2021;2;
704;2021;62;46406.0
705;2021;94;3685.0
706;2021;164;5508.0
707;2021;448;1054.0
709;2021;329;9014.0
710;2021;359;2122.0
712;2021;335;13404.0
713;2021;224;11798.0
715;2021;311;2863.0
716;2021;207;17192.0
717;2021;229;2694.0
718;2021;365;24027.0
719;2021;86;7591.0
720;2021;148;67458.0
721;2021;98;20829.0
722;2021;63;4254.0
726;2021;52;16455.0
731;2021;37;877.0
733;2021;405;193.0
737;2021;479;5529.0
747;2021;43;156.0
748;2021;215;3258.0
751;2021;257;
753;2021;379;4900.0
754;2021;483;37249.0
756;2021;345;13507.0
757;2021;385;5005.0
758;2021;367;13361.0
759;2021;456;12787.0
760;2021;167;1799.0
764;2021;235;32720.0
765;2021;54;37102.0
767;2021;287;203.0
771;2021;64;544.0
775;2021;177;
776;2021;283;4845.0
778;2021;56;41205.0
781;2021;215;9095.0
784;2021;42;4394.0
785;2021;203;5047.0
787;2021;6;
788;2021;432;2275.0
789;2021;20;28904.0
790;2021;92;391.0
792;2021;414;157.0
793;2021;38;31446.0
795;2021;442;53970.0
796;2021;405;4648.0
800;2021;371;1967.0
801;2021;234;6375.0
802;2021;345;4284.0
803;2021;415;8274.0
805;2021;399;14090.0
809;2021;195;3308.0
810;2021;63;6955.0
811;2021;307;14821.0
812;2021;28;256.0
813;2021;189;18996.0
816;2021;7;
817;2021;225;77143.0
818;2021;5;
821;2021;327;14836.0
822;2021;52;4212.0
823;2021;201;7990.0
824;2021;339;48068.0
827;2021;285;10797.0
829;2021;214;5450.0
831;2021;377;10806.0
834;2021;49;16988.0
836;2021;34;39543.0
838;2021;171;2876.0
839;2021;2;12316.0
840;2021;361;186.0
842;2021;50;162.0
843;2021;4;12270.0
844;2021;363;9361.0
846;2021;287;1544.0
847;2021;359;17954.0
848;2021;240;3070.0
849;2021;430;4707.0
850;2021;343;50685.0
852;2021;130;2651.0
853;2021;415;43745.0
855;2021;217;205.0
860;2021;279;4607.0
865;2021;167;908.0
869;2021;203;10726.0
871;2021;146;1580.0
872;2021;162;20621.0
873;2021;38;
874;2021;28;35530.0
876;2021;106;1895.0
884;2021;158;4693.0
885;2021;293;11158.0
886;2021;369;28897.0
888;2021;44;34663.0
889;2021;452;15229.0
890;2021;216;880.0
891;2021;249;
893;2021;471;42335.0
900;2021;51;37948.0
902;2021;381;2269.0
903;2021;385;54320.0
906;2021;311;45852.0
909;2021;411;1654.0
913;2021;56;3238.0
914;2021;456;50571.0
915;2021;1;1771.0
917;2021;169;51613.0
919;2021;134;3798.0
922;2021;343;10211.0
923;2021;122;
926;2021;45;22792.0
927;2021;84;1861.0
928;2021;389;9753.0
929;2021;148;32844.0
932;2021;299;12932.0
938;2021;104;57179.0
939;2021;232;3542.0
942;2021;387;686.0
943;2021;24;6539.0
944;2021;216;117.0
945;2021;3;15501.0
948;2021;68;49631.0
949;2021;299;4153.0
952;2021;164;
953;2021;162;1776.0
955;2021;261;10691.0
956;2021;44;929.0
957;2021;36;19485.0
958;2021;62;23345.0
959;2021;43;460.0
960;2021;365;11863.0
961;2021;293;99.0
962;2021;124;491.0
965;2021;92;1804.0
967;2021;245;2016.0
968;2021;30;392.0
970;2021;458;6105.0
972;2021;460;667.0
974;2021;419;20740.0
977;2021;454;2213.0
979;2021;39;320.0
981;2021;279;167.0
985;2021;126;7754.0
986;2021;36;17356.0
989;2021;434;20667.0
991;2021;122;6633.0
992;2021;82;13085.0
993;2021;212;59229.0
996;2021;273;43600.0
997;2021;1;2180.0
999;2021;220;2131.0
1002;2021;58;2555.0
1003;2021;341;
1004;2021;325;128.0
1007;2021;220;356.0
1008;2021;62;3601.0
1009;2021;158;82423.0
1010;2021;120;1846.0
1012;2021;273;113.0
