Year;StateID;PartyID;NewVoteCount;ShortName;LongName
2021;9;27;13565.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;9;29;148657.0;Die Linke;Die Linke
2021;9;30;40158.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;9;31;46369.0;dieBasis;Basisdemokratische Partei Deutschland
2021;9;33;1020.0;DKP;Deutsche Kommunistische Partei
2021;9;34;2625.0;du.;Die Urbane. Eine HipHop Partei
2021;9;235;474638.0;FDP;Freie Demokratische Partei
2021;9;236;37214.0;FREIE WÄHLER;FREIE WÄHLER
2021;9;245;726613.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;9;257;1306.0;LKR;Liberal-Konservative Reformer
2021;9;261;808.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;9;262;4379.0;NPD;Nationaldemokratische Partei Deutschlands
2021;9;267;3806.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;9;268;16955.0;PIRATEN;Piratenpartei Deutschland
2021;9;273;1498500.0;SPD;Sozialdemokratische Partei Deutschlands
2021;9;281;57931.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;9;287;3283.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;9;295;11897.0;Volt;Volt Deutschland
2021;9;300;3484.0;ÖDP;Ökologisch-Demokratische Partei
2021;10;4;717510.0;AfD;Alternative für Deutschland
2021;10;15;10128.0;Bündnis C;Bündnis C - Christen für Deutschland
2021;10;21;2566719.0;CDU;Christlich Demokratische Union Deutschlands
2021;10;27;65137.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;10;29;366947.0;Die Linke;Die Linke
2021;10;30;108504.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;10;31;99217.0;dieBasis;Basisdemokratische Partei Deutschland
2021;10;33;2556.0;DKP;Deutsche Kommunistische Partei
2021;10;34;4729.0;du.;Die Urbane. Eine HipHop Partei
2021;10;235;1130154.0;FDP;Freie Demokratische Partei
2021;10;236;64990.0;FREIE WÄHLER;FREIE WÄHLER
2021;10;245;1587067.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;10;255;9189.0;LfK;>> Partei für Kinder, Jugendliche und Familien << - Lobbyisten für Kinder -
2021;10;256;12967.0;LIEBE;Europäische Partei LIEBE
2021;10;257;2298.0;LKR;Liberal-Konservative Reformer
2021;10;261;3476.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;10;262;8956.0;NPD;Nationaldemokratische Partei Deutschlands
2021;10;266;3228.0;PdF;Partei des Fortschritts
2021;10;267;7685.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;10;268;36789.0;PIRATEN;Piratenpartei Deutschland
2021;10;271;971.0;SGP;Sozialistische Gleichheitspartei, Vierte Internationale
2021;10;273;2880226.0;SPD;Sozialdemokratische Partei Deutschlands
2021;10;281;136195.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;10;287;6628.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;10;290;11673.0;Verjüngungsforschung;Partei für Verjüngungsforschung
2021;10;295;36039.0;Volt;Volt Deutschland
2021;10;300;8052.0;ÖDP;Ökologisch-Demokratische Partei
2021;11;4;215205.0;AfD;Alternative für Deutschland
2021;11;21;576533.0;CDU;Christlich Demokratische Union Deutschlands
2021;11;26;1796.0;DiB;DEMOKRATIE IN BEWEGUNG
2021;11;27;8578.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;11;29;76123.0;Die Linke;Die Linke
2021;11;30;20844.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;11;31;28719.0;dieBasis;Basisdemokratische Partei Deutschland
2021;11;235;272451.0;FDP;Freie Demokratische Partei
2021;11;236;84396.0;FREIE WÄHLER;FREIE WÄHLER
2021;11;245;293135.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;11;257;1044.0;LKR;Liberal-Konservative Reformer
2021;11;261;469.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;11;262;2779.0;NPD;Nationaldemokratische Partei Deutschlands
2021;11;267;2284.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;11;268;9530.0;PIRATEN;Piratenpartei Deutschland
2021;11;273;685534.0;SPD;Sozialdemokratische Partei Deutschlands
2021;11;281;35759.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;11;287;2202.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;11;295;11110.0;Volt;Volt Deutschland
2021;11;300;5661.0;ÖDP;Ökologisch-Demokratische Partei
2021;12;4;119566.0;AfD;Alternative für Deutschland
2021;12;21;388399.0;CDU;Christlich Demokratische Union Deutschlands
2021;12;27;5305.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;12;29;64238.0;Die Linke;Die Linke
